 Precision Recall Fbeta
education__10th 0.5 0.36363636363636365 0.4210526315789474
education__11th 0.4 0.5 0.4444444444444445
education__12th 0.5 0.125 0.2
education__Masters 0.8507462686567164 0.3064516129032258 0.45059288537549413
education__Doctorate 0.95 0.2602739726027397 0.40860215053763443
education__5th-6th 0.0 0.0 0.0
education__Assoc-voc 0.64 0.24242424242424243 0.3516483516483516
education__1st-4th 0.5 0.3333333333333333 0.4
marital-status__Separated 0.5 0.46153846153846156 0.48000000000000004
marital-status__Divorced 0.5714285714285714 0.2696629213483146 0.366412213740458
marital-status__Married-civ-spouse 0.7995169082125604 0.24125364431486881 0.3706606942889138
marital-status__Never-married 0.3473684210526316 0.375 0.3606557377049181
marital-status__Widowed 0.6153846153846154 0.38095238095238093 0.47058823529411764
marital-status__Married-spouse-absent 0.0 0.0 0.0
marital-status__Married-AF-spouse 1.0 0.5 0.6666666666666666
occupation__Machine-op-inspct 0.47619047619047616 0.19607843137254902 0.2777777777777778
occupation__Handlers-cleaners 0.2 0.14285714285714285 0.16666666666666666
occupation__? 0.5555555555555556 0.375 0.44776119402985076
occupation__Other-service 0.1111111111111111 0.0625 0.08
occupation__Exec-managerial 0.8984375 0.28117359413202936 0.4283054003724395
occupation__Craft-repair 0.5873015873015873 0.21511627906976744 0.31489361702127655
occupation__Transport-moving 0.6666666666666666 0.2711864406779661 0.38554216867469876
occupation__Prof-specialty 0.8045112781954887 0.2786458333333333 0.413926499032882
occupation__Tech-support 0.7 0.21875 0.3333333333333333
occupation__Adm-clerical 0.48717948717948717 0.19387755102040816 0.2773722627737226
occupation__Priv-house-serv 1.0 1.0 1.0
occupation__Sales 0.7794117647058824 0.2560386473429952 0.3854545454545455
occupation__Farming-fishing 0.5 0.35 0.4117647058823529
occupation__Protective-serv 0.42857142857142855 0.15384615384615385 0.22641509433962267
relationship__Not-in-family 0.4953271028037383 0.3464052287581699 0.4076923076923077
relationship__Husband 0.8164383561643835 0.24587458745874588 0.3779327837666456
relationship__Own-child 0.16129032258064516 0.45454545454545453 0.23809523809523805
relationship__Unmarried 0.5555555555555556 0.28846153846153844 0.37974683544303794
relationship__Wife 0.7045454545454546 0.1987179487179487 0.31000000000000005
relationship__Other-relative 0.2 0.2 0.20000000000000004
race__White 0.7054263565891473 0.2533054975643702 0.3727598566308244
race__Black 0.6363636363636364 0.25301204819277107 0.3620689655172414
race__Asian-Pac-Islander 0.75 0.2727272727272727 0.39999999999999997
race__Amer-Indian-Eskimo 0.2857142857142857 0.2857142857142857 0.2857142857142857
race__Other 0.3333333333333333 0.14285714285714285 0.2
sex__Male 0.7522522522522522 0.25037481259370314 0.3757030371203599
sex__Female 0.5111111111111111 0.27058823529411763 0.35384615384615387
native-country__United-States 0.6979362101313321 0.2558459422283356 0.3744338198288878
native-country__Mexico 0.6 0.42857142857142855 0.5
native-country__Guatemala 1.0 0.0 0.0
native-country__Iran 0.6666666666666666 0.3333333333333333 0.4444444444444444
native-country__Philippines 0.3333333333333333 0.1 0.15384615384615383
native-country__South 0.0 0.0 0.0
native-country__England 0.0 0.0 0.0
native-country__France 1.0 0.0 0.0
native-country__? 0.7777777777777778 0.21212121212121213 0.3333333333333333
native-country__Nicaragua 1.0 1.0 1.0
native-country__Japan 1.0 0.25 0.4
native-country__Puerto-Rico 1.0 0.5 0.6666666666666666
native-country__Italy 1.0 0.2 0.33333333333333337
native-country__Hong 1.0 1.0 1.0
native-country__Haiti 0.0 1.0 0.0
native-country__Cambodia 1.0 0.0 0.0
native-country__Vietnam 1.0 1.0 1.0
native-country__Canada 0.6666666666666666 0.3333333333333333 0.4444444444444444
native-country__Taiwan 1.0 0.5 0.6666666666666666
native-country__Dominican-Republic 1.0 1.0 1.0
native-country__Laos 1.0 0.0 0.0
native-country__India 1.0 0.2727272727272727 0.42857142857142855
native-country__China 0.6666666666666666 0.4 0.5
native-country__Germany 1.0 0.16666666666666666 0.2857142857142857
native-country__Cuba 1.0 0.3333333333333333 0.5
native-country__Scotland 1.0 1.0 1.0
native-country__Honduras 1.0 1.0 1.0
native-country__Portugal 1.0 0.0 0.0
native-country__Trinadad&Tobago 1.0 1.0 1.0
native-country__Outlying-US(Guam-USVI-etc) 1.0 1.0 1.0
native-country__Jamaica 1.0 0.0 0.0
native-country__El-Salvador 1.0 1.0 1.0
native-country__Ecuador 1.0 1.0 1.0
native-country__Columbia 1.0 1.0 1.0
native-country__Ireland 0.0 0.0 0.0
native-country__Peru 1.0 1.0 1.0
native-country__Greece 0.5 1.0 0.6666666666666666
native-country__Hungary 1.0 1.0 1.0
native-country__Poland 1.0 1.0 1.0
native-country__Thailand 1.0 1.0 1.0
native-country__Holand-Netherlands 0.0 1.0 0.0
native-country__Yugoslavia 1.0 0.0 0.0
